,ADDRESS,CITY,"ZIP CODE",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
368,"223 SOUTH SHORE DRIVE",Miami,33133,25.743572,-80.216916,1,rooftop,223,"S Shore Dr",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
369,"219 S Shore Dr",Miami,33133,25.743743,-80.217153,1,rooftop,219,"S Shore Dr",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
370,"401 Ridgewood Rd","Key Biscayne",33149,25.693668,-80.166415,1,rooftop,401,"Ridgewood Rd","Key Biscayne",FL,"Miami-Dade County",33149,US,"City of Key Biscayne"
371,"69 Shore Drive West",Miami,33133,25.747653,-80.215373,1,range_interpolation,69,"Shore Dr W",Miami,FL,"Miami-Dade County",33133,US,"TIGER/Line® dataset from the US Census Bureau"
372,"105 E ENID DR","Key Biscayne",33149,25.689383,-80.16334,1,rooftop,105,"E Enid Dr","Key Biscayne",FL,"Miami-Dade County",33149,US,"Miami-Dade County"
373,"145 E Enid Dr","Key Biscayne",33149,25.689388,-80.162148,1,rooftop,145,"E Enid Dr","Key Biscayne",FL,"Miami-Dade County",33149,US,"Miami-Dade County"
374,"129 E ENID DR","Key Biscayne",33149,25.689446,-80.162623,1,rooftop,129,"E Enid Dr","Key Biscayne",FL,"Miami-Dade County",33149,US,"Miami-Dade County"
375,"561 Warren Ln","Key Biscayne",33149,25.691238,-80.168804,1,rooftop,561,"Warren Ln","Key Biscayne",FL,"Miami-Dade County",33149,US,"City of Key Biscayne"
376,"290 E SHORE DR",Miami,33133,25.74582,-80.213981,1,rooftop,290,"E Shore Dr",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
377,"482 Ridgewood Rd","Key Biscayne",33149,25.692104,-80.167571,1,rooftop,482,"Ridgewood Rd","Key Biscayne",FL,"Miami-Dade County",33149,US,"City of Key Biscayne"
378,"8 Pinta Rd","Coconut Grove",33133,25.745563,-80.216363,1,rooftop,8,"Pinta Rd",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
379,"115 Harbor Dr","Key Biscayne",33149,25.699085,-80.164863,1,rooftop,115,"Harbor Dr","Key Biscayne",FL,"Miami-Dade County",33149,US,"City of Key Biscayne"
380,"178 S Shore Dr",Miami,33133,25.74553,-80.217967,1,rooftop,178,"S Shore Dr",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
381,"60 W Shore Dr W","Coconut Grove",33133,25.747637,-80.214643,1,rooftop,60,"W Shore Dr",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
382,"23 Samana Dr",Miami,33133,25.747381,-80.213742,1,rooftop,23,"Samana Dr",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
383,"2945 S MIAMI AV",Miami,33129,25.748944,-80.207604,1,rooftop,2945,"S Miami Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
384,"881 Ocean Dr","Key Biscayne",33149,25.685741,-80.157265,1,rooftop,881,"Ocean Dr","Key Biscayne",FL,"Miami-Dade County",33149,US,"City of Key Biscayne"
385,"280 E Shore Dr",Miami,33133,25.745485,-80.214501,1,rooftop,280,"E Shore Dr",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
386,"32 SHORE DR N","Coconut Grove",33133,25.74769,-80.21331,1,range_interpolation,32,"Shore Dr N",Miami,FL,"Miami-Dade County",33133,US,"TIGER/Line® dataset from the US Census Bureau"
387,"3011 S Miami Ave",Miami,33129,25.748555,-80.208164,1,rooftop,3011,"S Miami Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
388,"216 SW 29th Rd",Miami,33129,25.752561,-80.210262,1,rooftop,216,"SW 29th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
389,"70 BAY HEIGHTS DRIVE",Miami,33133,25.744941,-80.217025,1,rooftop,70,"Bay Heights Dr",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
390,"2390 S Miami Ave",Miami,33129,25.752971,-80.203125,1,rooftop,2390,"S Miami Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
391,"3037 SW 4 Avenue",Miami,33129,25.753756,-80.213196,1,rooftop,3037,"SW 4th Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
392,"1915 Brickell Ave",Miami,33129,25.753724,-80.197538,1,rooftop,1915,"Brickell Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
393,"1 E Shore Dr",Miami,33133,25.746271,-80.212643,1,rooftop,1,"E Shore Dr",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
394,"3060 SW 4 AV",Miami,33129,25.754033,-80.213617,1,rooftop,3060,"SW 4th Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
395,"15 PINTA ROAD",Miami,33133,25.746119,-80.216324,1,rooftop,15,"Pinta Rd",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
396,"219 S SHORE DR","Coconut Grove",33133,25.743743,-80.217153,1,rooftop,219,"S Shore Dr",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
397,"41 N Shore Dr",Miami,33133,25.747998,-80.213045,1,rooftop,41,"N Shore Dr",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
398,"281 SHORE DRIVE EAST",Miami,33133,25.745045,-80.214369,1,range_interpolation,281,"Shore Dr E",Miami,FL,"Miami-Dade County",33133,US,"TIGER/Line® dataset from the US Census Bureau"
399,"2700 SW 1 AV",Miami,33129,25.752434,-80.20737,1,rooftop,2700,"SW 1st Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
400,"105 W SHORE DR",Miami,33133,25.74729,-80.216775,1,rooftop,105,"W Shore Dr",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
401,"2011 S Miami Ave",Miami,33129,25.754407,-80.199674,1,rooftop,2011,"S Miami Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
402,"10 SAMANA DR",Miami,33133,25.746632,-80.213537,1,rooftop,10,"Samana Dr",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
403,"3054 S Miami Avenue",Miami,33129,25.748814,-80.208809,1,rooftop,3054,"S Miami Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
404,"99 SHORE DR",Miami,33133,25.747452,-80.216293,0.9,rooftop,99,"W Shore Dr",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
405,"2030 SW 12th Ave",Miami,33129,25.752727,-80.214502,1,rooftop,2030,"SW 12th Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
406,"59 W SHORE DR",Miami,33133,25.748285,-80.213912,1,rooftop,59,"W Shore Dr",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
407,"221 E Enid Dr","Key Biscayne",33149,25.689453,-80.160954,1,rooftop,221,"E Enid Dr","Key Biscayne",FL,"Miami-Dade County",33149,US,"Miami-Dade County"
408,"61 SW 31st Rd",Miami,33129,25.749436,-80.209576,1,rooftop,61,"SW 31st Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
409,"265 Grapetree Dr","Key Biscayne",33149,25.684958,-80.158995,1,rooftop,265,"Grapetree Dr","Key Biscayne",FL,"Miami-Dade County",33149,US,"City of Key Biscayne"
410,"1121 CRANDON BL","Key Biscayne",33149,25.683692,-80.156184,1,rooftop,1121,"Crandon Blvd","Key Biscayne",FL,"Miami-Dade County",33149,US,"Miami-Dade County"
411,"160 SW 28th Rd",Miami,33129,25.752637,-80.208904,1,rooftop,160,"SW 28th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
412,"211 SW 29th Rd",Miami,33129,25.752482,-80.209851,1,rooftop,211,"SW 29th Rd",Miami,FL,"Miami-Dade County",33129,US,Statewide2
413,"25 SW 31st Rd",Miami,33129,25.748976,-80.209177,1,rooftop,25,"SW 31st Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
414,"3550 E Glencoe St","Coconut Grove",33133,25.74032,-80.217902,1,rooftop,3550,"E Glencoe St",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
415,"120 SW 26th Rd",Miami,33129,25.753382,-80.206778,1,rooftop,120,"SW 26th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
416,"125 E ENID DR","Key Biscayne",33149,25.689451,-80.162773,1,rooftop,125,"E Enid Dr","Key Biscayne",FL,"Miami-Dade County",33149,US,"Miami-Dade County"
417,"3001 SW 4 AV",Miami,33129,25.753984,-80.212852,1,rooftop,3001,"SW 4th Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
418,"1631 S Bayshore Ct",Miami,33133,25.740153,-80.217775,1,rooftop,1631,"S Bayshore Ct",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
419,"51 BAY HEIGHTS DR",Miami,33133,25.745395,-80.216209,1,rooftop,51,"Bay Heights Dr",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
420,"355 SW 31 Road",Miami,33129,25.753458,-80.213104,1,rooftop,355,"SW 31st Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
421,"3020 SW 2nd Ave",Miami,33129,25.751705,-80.211126,1,rooftop,3020,"SW 2nd Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
422,"216 SW 29 RD",Miami,33129,25.752561,-80.210262,1,rooftop,216,"SW 29th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
423,"1325 SW 22nd Ter",Miami,33145,25.750466,-80.216777,1,rooftop,1325,"SW 22nd Ter",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
424,"3531 SW 1st Ave",Miami,33145,25.748533,-80.215984,1,rooftop,3531,"SW 1st Ave",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
425,"450 Grapetree Drive","Key Biscayne",33149,25.684441,-80.158922,1,rooftop,450,"Grapetree Dr","Key Biscayne",FL,"Miami-Dade County",33149,US,"Miami-Dade County"
426,"111 SW 29 RD",Miami,33129,25.751908,-80.209078,1,rooftop,111,"SW 29th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
427,"1176 SW 22 Ter",Miami,33129,25.750073,-80.213539,1,rooftop,1176,"SW 22nd Ter",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
428,"3050 SW 1 Ave",Miami,33129,25.750855,-80.210937,1,rooftop,3050,"SW 1st Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
429,"35 SW 27 RD",Miami,33129,25.751635,-80.205993,1,rooftop,35,"SW 27th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
430,"345 SW 32nd Rd",Miami,33129,25.752511,-80.21363,1,rooftop,345,"SW 32nd Rd",Miami,FL,"Miami-Dade County",33129,US,Statewide2
431,"2898 SW 2 AV",Miami,33129,25.752356,-80.209731,1,rooftop,2898,"SW 2nd Ave",Miami,FL,"Miami-Dade County",33129,US,Statewide2
432,"32 SW 23rd Rd",Miami,33129,25.753746,-80.203059,1,rooftop,32,"SW 23rd Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
433,"249 SW 32nd Rd",Miami,33129,25.75149,-80.21264,1,rooftop,249,"SW 32nd Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
434,"200 OCEAN LN DR","Key Biscayne",33149,25.698674,-80.157161,1,rooftop,200,"Ocean Lane Dr","Key Biscayne",FL,"Miami-Dade County",33149,US,"City of Key Biscayne"
435,"3541 SW 1st Ave",Miami,33145,25.748473,-80.21612,1,rooftop,3541,"SW 1st Ave",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
436,"1053 SW 22nd St",Miami,33129,25.751329,-80.212582,1,rooftop,1053,"SW 22nd St",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
437,"3542 SW 1 AV",Miami,33145,25.74895,-80.216414,1,rooftop,3542,"SW 1st Ave",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
438,"210 CYPRESS DR","Key Biscayne",33149,25.695759,-80.167978,1,rooftop,210,"Cypress Dr","Key Biscayne",FL,"Miami-Dade County",33149,US,"City of Key Biscayne"
439,"3547 SW 1 AV",Miami,33145,25.748398,-80.216319,1,rooftop,3547,"SW 1st Ave",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
440,"355 SW 31 RD",Miami,33129,25.753458,-80.213104,1,rooftop,355,"SW 31st Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
441,"3433 SW 1st Ave",Miami,33145,25.748975,-80.214668,1,rooftop,3433,"SW 1st Ave",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
442,"1362 SW 22 ter",Miami,33145,25.749995,-80.21742,1,range_interpolation,1362,"SW 22nd Ter",Shenandoah,FL,"Miami-Dade County",33145,US,"TIGER/Line® dataset from the US Census Bureau"
443,"1925 BRICKELL AV",Miami,33129,25.753264,-80.197841,1,rooftop,1925,"Brickell Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
444,"46 SW 27th Rd",Miami,33129,25.751353,-80.206511,1,rooftop,46,"SW 27th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
445,"3480 SW 3rd Ave",Miami,33145,25.750047,-80.216467,1,rooftop,3480,"SW 3rd Ave",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
446,"228 SW 31st Road",Miami,33129,25.75162,-80.212108,1,rooftop,228,"SW 31st Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
447,"3620 SW 1st Ave",Miami,33145,25.748449,-80.217326,1,rooftop,3620,"SW 1st Ave",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
448,"125 SW Sw 25th Road Road",Miami,33129,25.754128,-80.20535,1,rooftop,125,"SW 25th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
449,"2400 Brickell Ave",Miami,33129,25.752259,-80.201788,1,rooftop,2400,"Brickell Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
450,"1111 Crandon Blvd","Key Biscayne",33149,25.683559,-80.156938,1,rooftop,1111,"Crandon Blvd","Key Biscayne",FL,"Miami-Dade County",33149,US,"City of Key Biscayne"
451,"36 SW 27 RD",Miami,33129,25.751231,-80.206411,1,rooftop,36,"SW 27th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
452,"345 SW 32nd Road",Miami,33129,25.752511,-80.21363,1,rooftop,345,"SW 32nd Rd",Miami,FL,"Miami-Dade County",33129,US,Statewide2
453,"120 SW 28th Rd",Miami,33129,25.752434,-80.208813,1,rooftop,120,"SW 28th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
454,"1357 SW 23 ST",Miami,33145,25.749622,-80.217406,1,rooftop,1357,"SW 23rd St",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
455,"3131 SW 4th Ave",Miami,33129,25.753226,-80.213848,1,rooftop,3131,"SW 4th Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
456,"116 SW 28th Rd",Miami,33129,25.752327,-80.20872,1,rooftop,116,"SW 28th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
457,"249 SW 32 RD",Miami,33129,25.75149,-80.21264,1,rooftop,249,"SW 32nd Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
458,"50 SW 30 RD",Miami,33129,25.749495,-80.209046,1,rooftop,50,"SW 30th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
459,"2420 Brickell Ave",Miami,33129,25.751748,-80.202594,1,rooftop,2420,"Brickell Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
460,"3531 SW 1 AV",Miami,33145,25.748533,-80.215984,1,rooftop,3531,"SW 1st Ave",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
461,"455 Grand Bay Dr.","Key Biscayne",33149,25.691822,-80.157892,1,rooftop,455,"Grand Bay Dr","Key Biscayne",FL,"Miami-Dade County",33149,US,"City of Key Biscayne"
462,"3480 SW 3 AV",Miami,33145,25.750047,-80.216467,1,rooftop,3480,"SW 3rd Ave",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
463,"1257 SW 20th St",Miami,33145,25.753475,-80.215465,1,rooftop,1257,"SW 20th St",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
464,"1359 SW 23 ST",Miami,33145,25.749589,-80.21749,1,rooftop,1359,"SW 23rd St",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
465,"3612 SW 1st Ave",Miami,33145,25.748598,-80.217147,1,rooftop,3612,"SW 1st Ave",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
466,"1865 BRICKELL AV",Miami,33129,25.754207,-80.196059,1,rooftop,1865,"Brickell Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
467,"1038 SW 22 ST",Miami,33129,25.750964,-80.212406,1,rooftop,1038,"SW 22nd St",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
468,"798 CRANDON BL","Key Biscayne",33149,25.686969,-80.163984,1,rooftop,798,"Crandon Blvd","Key Biscayne",FL,"Miami-Dade County",33149,US,"City of Key Biscayne"
469,"2001 SW 13th Ave",Miami,33145,25.753034,-80.215991,1,rooftop,2001,"SW 13th Ave",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
470,"2907 SW 2 AV",Miami,33129,25.751943,-80.209942,1,rooftop,2907,"SW 2nd Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
471,"2400 BRICKELL AV",Miami,33129,25.752259,-80.201788,1,rooftop,2400,"Brickell Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
472,"1256 SW 20th St",Miami,33145,25.75305,-80.215465,1,rooftop,1256,"SW 20th St",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
473,"375 SW 32 RD",Miami,33129,25.753132,-80.213972,1,rooftop,375,"SW 32nd Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
474,"1243 SW 21st St",Miami,33145,25.752783,-80.215113,1,rooftop,1243,"SW 21st St",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
475,"242 SW 31st Rd",Miami,33129,25.75175,-80.212255,1,rooftop,242,"SW 31st Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
476,"3575 SW 1 AV",Miami,33145,25.748267,-80.216717,1,rooftop,3575,"SW 1st Ave",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
477,"2180 Brickell Ave",Miami,33129,25.753224,-80.200214,1,rooftop,2180,"Brickell Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
478,"1241 SW 21 TE","South Miami",33145,25.752697,-80.214956,1,range_interpolation,1241,"SW 21st St",Shenandoah,FL,"Miami-Dade County",33145,US,"TIGER/Line® dataset from the US Census Bureau"
479,"1257 SW 21 TE",Miami,33145,25.752027,-80.21547,1,rooftop,1257,"SW 21st Ter",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
480,"3538 SW 1st Ave",Miami,33145,25.748975,-80.216249,1,rooftop,3538,"SW 1st Ave",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
481,"2451 Brickell Ave",Miami,33129,25.750034,-80.200708,1,rooftop,2451,"Brickell Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
482,"1233 SW 20 ST",Miami,33145,25.75349,-80.214941,1,rooftop,1233,"SW 20th St",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
483,"1990 BRICKELL AV",Miami,33129,25.753983,-80.199321,1,rooftop,1990,"Brickell Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
484,"1275 SW 20th St",Miami,33145,25.753465,-80.215815,1,rooftop,1275,"SW 20th St",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
485,"2180 BRICKELL AV",Miami,33129,25.753224,-80.200214,1,rooftop,2180,"Brickell Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
486,"2101 BRICKELL AV",Miami,33129,25.752742,-80.199159,1,rooftop,2101,"Brickell Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
487,"1240 SW 21 ST",Miami,33145,25.752357,-80.215112,0.9,rooftop,1240,"SW 21st St",Shenandoah,FL,"Miami-Dade County",33145,US,"Miami-Dade County"
488,"2201 BRICKELL AV",Miami,33129,25.751625,-80.199579,1,rooftop,2201,"Brickell Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
489,"3011 SW 1 AV",Miami,33129,25.750672,-80.210172,1,rooftop,3011,"SW 1st Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
490,"1435 Brickell Avenue",Miami,33131,25.758898,-80.1918,1,rooftop,1435,"Brickell Ave",Miami,FL,"Miami-Dade County",33131,US,"Miami-Dade County"
491,"167 SW 20th Rd",Miami,33129,25.757258,-80.201809,1,rooftop,167,"SW 20th Rd",Miami,FL,"Miami-Dade County",33129,US,Statewide2
492,"1644 S Miami Ave",Miami,33129,25.757592,-80.196426,1,rooftop,1644,"S Miami Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
493,"1435 Brickell Ave",Miami,33131,25.758898,-80.1918,1,rooftop,1435,"Brickell Ave",Miami,FL,"Miami-Dade County",33131,US,"Miami-Dade County"
494,"237 SW 20th Rd",Miami,33129,25.758284,-80.202186,1,rooftop,237,"SW 20th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
495,"933 SW 4th Ave",Miami,33130,25.764483,-80.200522,1,rooftop,933,"SW 4th Ave",Miami,FL,"Miami-Dade County",33130,US,"Miami-Dade County"
496,"1750 SW 4th Ave",Miami,33129,25.762166,-80.201564,1,rooftop,1750,"SW 4th Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
497,"9050 SW 85 Avenue",Miami,33156,25.685985,-80.333279,1,rooftop,9050,"SW 85th Ave",Miami,FL,"Miami-Dade County",33156,US,"Miami-Dade County"
498,"1331 NE Brickell Bay Dr",Miami,33131,25.760322,-80.189479,1,rooftop,1331,"Brickell Bay Dr",Miami,FL,"Miami-Dade County",33131,US,"Miami-Dade County"
499,"434 SW 10 st",Miami,33130,25.76399,-80.201282,1,rooftop,434,"SW 10th St",Miami,FL,"Miami-Dade County",33130,US,"Miami-Dade County"
500,"495 Brickell Ave",Miami,33131,25.768309,-80.18853,1,rooftop,495,"Brickell Ave",Miami,FL,"Miami-Dade County",33131,US,"Miami-Dade County"
501,"1395 Brickell Ave",Miami,33131,25.76067,-80.191604,1,rooftop,1395,"Brickell Ave",Miami,FL,"Miami-Dade County",33131,US,"Miami-Dade County"
502,"452 SW 15th Rd",Miami,33129,25.762941,-80.201943,1,rooftop,452,"SW 15th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
503,"1600 SW 1st Ave",Miami,33129,25.759724,-80.197269,1,rooftop,1600,"SW 1st Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
504,"311 SW 21st Rd",Miami,33129,25.758973,-80.204058,1,rooftop,311,"SW 21st Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
505,"332 SW 20th Rd",Miami,33129,25.7593,-80.203825,1,rooftop,332,"SW 20th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
506,"1600 SW 1st Avenue",Miami,33129,25.759724,-80.197269,1,rooftop,1600,"SW 1st Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
507,"520 Brickell Key Dr",Miami,33131,25.767103,-80.184158,1,rooftop,520,"Brickell Key Dr",Miami,FL,"Miami-Dade County",33131,US,"Miami-Dade County"
508,"341 SW 19th Rd",Miami,33129,25.76032,-80.202609,1,rooftop,341,"SW 19th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
509,"999 SW 1st Ave",Miami,33131,25.764866,-80.194966,0.9,rooftop,999,"SW 1st Ave",Miami,FL,"Miami-Dade County",33130,US,"Miami-Dade County"
510,"999 SW 1st Ave",Miami,33130,25.764866,-80.194966,1,rooftop,999,"SW 1st Ave",Miami,FL,"Miami-Dade County",33130,US,"Miami-Dade County"
511,"79 SW 12th St",Miami,33130,25.762768,-80.194729,1,rooftop,79,"SW 12th St",Miami,FL,"Miami-Dade County",33130,US,"Miami-Dade County"
512,"31 SE 5th St",Miami,33131,25.769673,-80.192003,1,rooftop,31,"SE 5th St",Miami,FL,"Miami-Dade County",33131,US,"Miami-Dade County"
513,"13100 SW 13 ST",Miami,33184,25.75556,-80.40714,1,rooftop,13100,"SW 13th St",Miami,FL,"Miami-Dade County",33184,US,Statewide2
514,"465 BRICKELL AV",Miami,33131,25.768956,-80.188899,1,rooftop,465,"Brickell Ave",Miami,FL,"Miami-Dade County",33131,US,"Miami-Dade County"
515,"1823 SW 2nd Ct",Miami,33129,25.759099,-80.200542,1,rooftop,1823,"SW 2nd Ct",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
516,"1561 S MIAMI AVE",Miami,33129,25.75829,-80.1945,1,rooftop,1561,"S Miami Ave",Miami,FL,"Miami-Dade County",33129,US,Statewide2
517,"901 Brickell Key Blvd",Miami,33131,25.76932,-80.186875,1,rooftop,901,"Brickell Key Blvd",Miami,FL,"Miami-Dade County",33131,US,"Miami-Dade County"
518,"900 BRICKELL KEY BL",Miami,33131,25.764897,-80.18986,1,range_interpolation,900,"Brickell Key Dr",Miami,FL,"Miami-Dade County",33131,US,"TIGER/Line® dataset from the US Census Bureau"
519,"249 SW 20 Rd",Miami,33129,25.758449,-80.202332,1,rooftop,249,"SW 20th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
520,"1644 S MIAMI AV",Miami,33129,25.757592,-80.196426,1,rooftop,1644,"S Miami Ave",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
521,"1510 SW 4 Ave",Miami,33129,25.762472,-80.201056,1,range_interpolation,1510,"SW 4th Ave",Miami,FL,"Miami-Dade County",33129,US,"TIGER/Line® dataset from the US Census Bureau"
522,"1500 SW 4th Ave",Miami,33129,25.76249,-80.20079,1,rooftop,1500,"SW 4th Ave",Miami,FL,"Miami-Dade County",33129,US,Statewide2
523,"1435 BRICKELL AV",Miami,33131,25.758898,-80.1918,1,rooftop,1435,"Brickell Ave",Miami,FL,"Miami-Dade County",33131,US,"Miami-Dade County"
524,"87 SW 18th  ROAD",Miami,33129,25.757993,-80.197871,1,rooftop,87,"SW 18th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
525,"1331 Brickell Bay Dr",Miami,33131,25.760322,-80.189479,1,rooftop,1331,"Brickell Bay Dr",Miami,FL,"Miami-Dade County",33131,US,"Miami-Dade County"
526,"201 SW 17th Rd",Miami,33129,25.759909,-80.198239,1,rooftop,201,"SW 17th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
527,"269 SW 19th Rd",Miami,33129,25.759093,-80.201574,1,rooftop,269,"SW 19th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
528,"320 SW 19th Rd",Miami,33129,25.759757,-80.202923,1,rooftop,320,"SW 19th Rd",Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
